2026-04-24 18:34:20.896708 | App: WindowsTerminal.exe | Window: C:\Windows\System32\cmd.exe - python  logger.py
2026-04-24 18:38:49.870402 | App: WindowsTerminal.exe | Window: C:\Windows\System32\cmd.exe - python  logger.py
2026-04-24 18:38:59.882602 | App: WindowsTerminal.exe | Window: C:\Windows\System32\cmd.exe - python  logger.py
2026-04-24 18:39:09.884377 | App: WhatsApp.Root.exe | Window: WhatsApp
2026-04-24 18:39:19.886290 | App: WhatsApp.Root.exe | Window: H.NotifyIcon_85fa7097-d255-484e-8f94-0c97d9e676c0
2026-04-24 18:40:43.297779 | App: WindowsTerminal.exe | Window: C:\Windows\System32\cmd.exe - python  logger.py
2026-04-24 19:11:16.441037 | App: WindowsTerminal.exe | Window: C:\Windows\System32\cmd.exe - python  logger.py
2026-04-24 19:11:50.772864 | App: WindowsTerminal.exe | Window: C:\Windows\System32\cmd.exe - python  logger.py
2026-04-24 19:12:00.783634 | App: WindowsTerminal.exe | Window: C:\Windows\System32\cmd.exe - python  logger.py
2026-04-24 19:38:50.200361,46,msedge.exe,GitHub - Personal 2 - Microsoft Edge
2026-04-24 19:38:55.202088,47,msedge.exe,GitHub - Personal 2 - Microsoft Edge
2026-04-24 19:39:00.204250,48,msedge.exe,GitHub - Personal 2 - Microsoft Edge
2026-04-24 19:39:05.205999,49,msedge.exe,GitHub - Personal 2 - Microsoft Edge
2026-04-24 19:39:10.207946,50,msedge.exe,GitHub - Personal 2 - Microsoft Edge
2026-04-24 19:39:15.209817,51,msedge.exe,GitHub - Personal 2 - Microsoft Edge
2026-04-24 19:39:20.211716,52,msedge.exe,GitHub - Personal 2 - Microsoft Edge
2026-04-24 19:39:25.213672,53,msedge.exe,GitHub - Personal 2 - Microsoft Edge
2026-04-24 19:39:30.215729,54,msedge.exe,GitHub - Personal 2 - Microsoft Edge
2026-04-24 19:39:35.217780,55,msedge.exe,GitHub - Personal 2 - Microsoft Edge
2026-04-24 19:39:40.219566,56,msedge.exe,GitHub - Personal 2 - Microsoft Edge
2026-04-24 19:39:45.221785,57,msedge.exe,GitHub - Personal 2 - Microsoft Edge
2026-04-24 19:39:50.223611,58,msedge.exe,GitHub - Personal 2 - Microsoft Edge
